20151001;114;71;164
20151002;114;35;156
20151003;115;75;150
20151004;122;62;172
20151005;135;102;164
20151006;140;126;154
20151007;151;143;168
20151008;135;120;154
20151009;129;99;155
20151010;112;74;137
20151011;77;54;99
20151012;63;42;85
20151013;71;45;99
20151014;76;52;97
20151015;81;29;110
20151016;94;75;116
20151017;94;61;107
20151018;111;73;132
20151019;119;103;144
20151020;107;67;135
20151021;105;56;125
20151022;126;96;145
20151023;105;58;136
20151024;113;106;122
20151025;100;57;136
20151026;100;77;138
20151027;86;75;98
20151028;86;68;100
20151029;102;81;118
20151030;98;61;121
20151031;86;48;117
